Empresa;Empresa|Sku;Produto;Descrição;Status Compras;Categoria;Marca;Comprador;Pareto;Meta;Full;St.Oportunidades;Vlr. Custo ($);Vlr. Venda ($);Vlr Ticket ($);Acum Meta (Q);Acum Realizado (Q);Acum Meta ($);Acum Realizado (C$);Acum Realizado ($);CMV Total ($);Lucro Bruto ($);Impostos ($);Impostos (%);Margem  (%);Meta Atual (Q);Meta Atual (C$);Meta Atual ($);Meta - Realizado (Q);Meta %;Meta St.;Meta Ating St. ; Necess. (Q) Atual.;Necess. (C$) Atual.;Necess. ($) Atual.;Reprojeção (Q);Reprojeção (C$);Reprojeção ($);Necess. (Q) Atual Rep;Necess. (C$) Atual Rep;Necess. ($) Atual Rep;Reprojeção x Meta (Q); Desvio Abaixo ($); Desvio Acima ($);Reprojeção - Realizado (Q);Nivel Estoque Rep %;Nivel Estoque Rep % St.  ;Estoque L1 (Q);Estoque L1 (C$);Estoque L1 ($);Estoque Bling (Q);Estoque Blin Ajust. (Q);Estoque Bling (C$);Estoque Bling ($);Estoque Full (Q);Estoque Full (C$);Estoque Full ($);Estoque Total (Q);Estoque Mínimo (Q);Est. Total x Est. Mínimo (Q);Estoque Total (C$);Estoque Total ($);Estoque Meta (Q);Estoque Meta (C$);Estoque Meta ($);Nivel Estoque %;Nivel Estoque St.;Nivel Estoque St. %;Reprojeção x Estoque (Q);Reprojeção x Estoque (C$);Reprojeção x Estoque ($);Reprojeção x Estoque Nec. (Q);Reprojeção x Estoque Nec. (C$);Reprojeção x Estoque Nec. ($);Pedidos Pendentes (Q);Pedidos Pendentes (C$);Pedidos Pendentes ($);999 Estoque (Q);999 Ped. Pendente (Q);999 Estoque + Ped Pendente (Q);999 Demanda Lojas 30d (Q);999 Disponível (Q);999 Disponível (C$);999 Disponível ($);Estoque Total + Ped. Pendente (Q);Estoque Total + Ped. Pendente (C$);Estoque Total + Ped. Pendente ($);Estoque Futuro 1 (Q);Estoque Futuro 1  (C$);Estoque Futuro 1  ($);Estoque Meta Seg (Q);Estoque Meta Seg (C$);Estoque Meta Seg ($);Meta Seguinte (Q) ;Meta Seguinte (C$) ;Meta Seguinte ($) ;Meta Seg. Nec (Q);Meta Seg. Nec (C$);Meta Seg. Nec ($);Estoque Futuro 2 (Q);Estoque Futuro 2 (C$);Estoque Futuro 2 ($);Leadtime Médio (Dias);Ped. Pendente [Dig] (Q);Ped. Pendente [Dig] ($);Data Pedido [Dig];Previsão Entrega [Dig];Ped. Pendente [999] (Q);Ped. Pendente [999] (C$);Data Pedido [999];Previsão Entrega [999];Faturado XML Central (Q);Sku + Descrição;Calc. Venda diária;Calc. Dias Estoque;Calc. Estoque Atual.;Calc. St Dias Estoque;Calc. Status Meta x Status Estoque;Calc. Validar Saúde;Calc. Formatado;Calc. Estoque T.  Produto;Calc. Total meta;Calc. Valid;Calc. Validar;Prop % 1_15;Compras >15; Est1 ; Valid Nec ;Calc; Valid2 ;Fut s/full;Exportar;Peso Liq Unit;Ação Shopee
1 ;1|1733;1733;SIMPARIC 80MG 20,1KG A 40KG 1 COMPRIMIDO;ATIVO;FARMÁCIA;ZOETIS;Gelder;Sim;Sim;Não;Vendas + Compras;66,03 ;121,99 ;99,32 ;329 ;26 ;32.643 ;1.717 ;2.582 ;1.717 ;606 ;259 ;10,04%;26,1%;580 ;38.299 ;60.778 ;554 ;4%;Meta 25%;0% a 10%;0 ;0 ;0 ;46 ;3.030 ;4.557 ;0 ;0 ;0 ;-303 ;-30.061 ;0 ;20 ;5186%;Acima de 100%;1.031 ;68.080 ;102.399 ;1.031 ;1.031 ;68.080 ;102.399 ;0 ;0 ;0 ;1.031 ;282 ;350 ;68.080 ;102.399 ;554;36.582;55.023;5186%;Estoque maior que 100%;Acima de 100%;46 ;3.030 ;4.557 ;0 ;0 ;0 ;0 ;0 ;0 ;121 ;0 ;121;874;0;0;0;1.031;68.080;102.399;477;31.498;47.376;230;15.188;22.844;230 ;15.188 ;22.844 ;0 ;0 ;0 ;247 ;16.310 ;24.532 ;7;0;0;;;0;0;;;0 ;1733 - SIMPARIC 80MG 20,1KG A 40KG 1 COMPRIMIDO;                                                   1,53 ;                                                       674 ;                                                      1.031 ;Com excesso;Meta 25%|Estoque maior que 100%;Vendas + Compras;Vendas + Compras;1.011 ;724 ;1;1;46,48%;                                    2.510 ;                            -   ;                                         -   ;2;                                 -   ;                              477 ; Sim ;                                              -   ;                                   1.733 
1 ;1|33110;33110;PETISCO SHEBA CREAMY ATUM 48G;ATIVO;ALIMENTAÇÃO;SHEBA;Yasmin;Não;Sim;Não;Vendas + Compras;4,36 ;18,90 ;16,75 ;108 ;0 ;1.803 ;0 ;0 ;0 ;0 ;0 ;0,00%;0,0%;190 ;828 ;2.727 ;190 ;0%;Sem venda;0% a 10%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;-108 ;-1.803 ;0 ;0 ;99900%;Acima de 100%;736 ;3.209 ;12.328 ;736 ;736 ;3.209 ;12.328 ;0 ;0 ;0 ;736 ;95 ;81 ;3.209 ;12.328 ;190;828;3.183;99900%;Estoque maior que 100%;Acima de 100%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;207 ;192 ;399;210;189;823;3.161;736;3.209;12.328;546;2.380;9.146;96;419;1.608;96 ;419 ;1.608 ;0 ;0 ;0 ;450 ;1.962 ;7.538 ;7;0;0;;;192;837;28/05/2026;04/06/2026;0 ;33110 - PETISCO SHEBA CREAMY ATUM 48G;                                                   0,01 ;                                               73.600 ;                                                           736 ;Com excesso;Sem venda|Estoque maior que 100%;Vendas + Compras;Vendas + Compras;736 ;402 ;1;1;74,59%;                                               -   ;                            -   ;                                         -   ;2;                                 -   ;                              546 ; Sim ;                                               0 ;                                               -   
1 ;1|1730;1730;SIMPARIC 40MG 10,1KG A 20KG 3 COMPRIMIDOS;ATIVO;FARMÁCIA;ZOETIS;Gelder;Sim;Sim;Não;Vendas + Compras;136,52 ;271,00 ;196,25 ;57 ;24 ;11.121 ;3.277 ;4.710 ;3.277 ;886 ;547 ;11,61%;21,3%;100 ;13.652 ;18.853 ;76 ;24%;Meta 25%;20% a 30%;0 ;0 ;0 ;42 ;5.782 ;8.312 ;0 ;0 ;0 ;-33 ;-6.411 ;0 ;18 ;4522%;Acima de 100%;830 ;113.315 ;162.888 ;830 ;830 ;113.315 ;162.888 ;0 ;0 ;0 ;830 ;47 ;75 ;113.315 ;162.888 ;76;10.376;14.915;4522%;Estoque maior que 100%;Acima de 100%;42 ;5.782 ;8.312 ;0 ;0 ;0 ;0 ;0 ;0 ;271 ;0 ;271;114;157;21.434;30.811;830;113.315;162.888;754;102.940;147.973;29;3.959;5.691;29 ;3.959 ;5.691 ;0 ;0 ;0 ;725 ;98.980 ;142.281 ;7;0;0;;;0;0;;;0 ;1730 - SIMPARIC 40MG 10,1KG A 20KG 3 COMPRIMIDOS;                                                   1,41 ;                                                       588 ;                                                           830 ;Com excesso;Meta 25%|Estoque maior que 100%;Vendas + Compras;Vendas + Compras;812 ;283 ;1;1;39,79%;                                         450 ;                            -   ;                                         -   ;2;                                 -   ;                              754 ; Sim ;                                              -   ;                                   1.730 
1 ;1|1725;1725;SIMPARIC 120MG 40,1KG A 60KG 1 COMPRIMIDO;ATIVO;FARMÁCIA;ZOETIS;Gelder;Sim;Sim;Não;Vendas;71,79 ;127,99 ;105,69 ;85 ;71 ;8.984 ;5.097 ;7.504 ;5.097 ;1.611 ;796 ;10,61%;24,0%;150 ;10.768 ;14.492 ;79 ;47%;Meta 50%;40% a 50%;0 ;0 ;0 ;125 ;8.995 ;13.242 ;0 ;0 ;0 ;-14 ;-1.480 ;0 ;54 ;221%;Acima de 100%;120 ;8.615 ;12.683 ;120 ;120 ;8.615 ;12.683 ;0 ;0 ;0 ;120 ;92 ;0 ;8.615 ;12.683 ;79;5.671;8.350;221%;Estoque maior que 100%;Acima de 100%;125 ;8.995 ;13.242 ;0 ;0 ;0 ;0 ;0 ;0 ;30 ;30 ;60;209;0;0;0;120;8.615;12.683;41;2.943;4.333;41;2.943;4.333;200 ;14.358 ;21.138 ;159 ;11.415 ;16.805 ;0 ;0 ;0 ;7;0;0;;;30;2.154;09/06/2026;16/06/2026;0 ;1725 - SIMPARIC 120MG 40,1KG A 60KG 1 COMPRIMIDO;                                                   4,18 ;                                                           29 ;                                                           120 ;Sem Excesso;Meta 50%|Estoque maior que 100%;Vendas;Vendas;66 ;305 ;2;1;56,46%;                                         930 ;                            -   ;                                         -   ;2;                              51 ;                                 41 ; Sim ;                                              -   ;                                   1.725 
1 ;1|33111;33111;PETISCO SHEBA CREAMY ATUM E CAMARÃO 48G;ATIVO;ALIMENTAÇÃO;SHEBA;Yasmin;Não;Sim;Não;Vendas Crítico;4,33 ;18,90 ;15,61 ;130 ;2 ;2.035 ;9 ;31 ;9 ;23 ;0 ;0,00%;72,3%;230 ;996 ;3.618 ;228 ;1%;Meta 25%;0% a 10%;23 ;100 ;359 ;4 ;15 ;55 ;0 ;0 ;0 ;-128 ;-2.003 ;0 ;2 ;13404%;Acima de 100%;205 ;887 ;3.200 ;205 ;205 ;887 ;3.200 ;0 ;0 ;0 ;205 ;134 ;0 ;887 ;3.200 ;205;887;3.200;13404%;Estoque maior 75%;Acima de 100%;4 ;15 ;55 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;216 ;216;537;0;0;0;205;887;3.200;0;0;0;0;0;0;255 ;1.104 ;3.981 ;255 ;1.104 ;3.981 ;0 ;0 ;0 ;7;0;0;;;216;935;28/05/2026;04/06/2026;49 ;33111 - PETISCO SHEBA CREAMY ATUM E CAMARÃO 48G;                                                   0,12 ;                                                  1.743 ;                                                           205 ;Com excesso;Meta 25%|Estoque maior 75%;Vendas Crítico;Vendas Crítico;203 ;228 ;1;1;58,74%;                                               -   ;                            -   ;                                         -   ;2;                          134 ;                                    -   ; Sim ;                                               0 ;                                               -   
1 ;1|1734;1734;SIMPARIC 80MG 20,1KG A 40KG 3 COMPRIMIDOS;ATIVO;FARMÁCIA;ZOETIS;Gelder;Sim;Sim;Não;Vendas;156,41 ;318,99 ;255,36 ;62 ;34 ;15.917 ;5.318 ;8.682 ;5.318 ;2.322 ;1.042 ;12,01%;30,4%;110 ;17.205 ;24.919 ;76 ;31%;Meta 50%;30% a 40%;0 ;0 ;0 ;60 ;9.385 ;15.322 ;0 ;0 ;0 ;-28 ;-7.235 ;0 ;26 ;1815%;Acima de 100%;472 ;73.825 ;120.530 ;472 ;472 ;73.825 ;120.530 ;0 ;0 ;0 ;472 ;68 ;20 ;73.825 ;120.530 ;76;11.887;19.407;1815%;Estoque maior que 100%;Acima de 100%;60 ;9.385 ;15.322 ;0 ;0 ;0 ;0 ;0 ;0 ;16 ;10 ;26;296;0;0;0;472;73.825;120.530;396;61.938;101.123;150;23.461;38.304;150 ;23.461 ;38.304 ;0 ;0 ;0 ;246 ;38.477 ;62.819 ;7;0;0;;;10;1.564;03/06/2026;10/06/2026;0 ;1734 - SIMPARIC 80MG 20,1KG A 40KG 3 COMPRIMIDOS;                                                   2,00 ;                                                       236 ;                                                           472 ;Com excesso;Meta 50%|Estoque maior que 100%;Vendas;Vendas;446 ;172 ;1;1;51,57%;                                         780 ;                            -   ;                                         -   ;2;                                 -   ;                              396 ; Sim ;                                              -   ;                                   1.734 
1 ;1|1726;1726;SIMPARIC 120MG 40,1KG A 60KG 3 COMPRIMIDOS;ATIVO;FARMÁCIA;ZOETIS;Gelder;Sim;Sim;Não;Vendas + Compras;178,19 ;324,99 ;252,27 ;57 ;12 ;14.295 ;2.138 ;3.027 ;2.138 ;504 ;385 ;12,72%;19,1%;100 ;17.819 ;24.190 ;88 ;12%;Meta 25%;10% a 20%;0 ;0 ;0 ;21 ;3.773 ;5.342 ;0 ;0 ;0 ;-45 ;-11.268 ;0 ;9 ;2158%;Acima de 100%;198 ;35.282 ;49.949 ;198 ;198 ;35.282 ;49.949 ;0 ;0 ;0 ;198 ;57 ;20 ;35.282 ;49.949 ;88;15.681;22.200;2158%;Estoque maior que 100%;Acima de 100%;21 ;3.773 ;5.342 ;0 ;0 ;0 ;0 ;0 ;0 ;20 ;0 ;20;191;0;0;0;198;35.282;49.949;110;19.601;27.750;101;17.997;25.479;101 ;17.997 ;25.479 ;0 ;0 ;0 ;9 ;1.604 ;2.270 ;7;0;0;;;0;0;;;0 ;1726 - SIMPARIC 120MG 40,1KG A 60KG 3 COMPRIMIDOS;                                                   0,71 ;                                                       281 ;                                                           198 ;Com excesso;Meta 25%|Estoque maior que 100%;Vendas + Compras;Vendas + Compras;189 ;268 ;2;1;52,14%;                                         460 ;                            -   ;                                         -   ;2;                                 -   ;                              110 ; Sim ;                                              -   ;                                   1.726 
995 ;995|33111;33111;PETISCO SHEBA CREAMY ATUM E CAMARÃO 48G;ATIVO;ALIMENTAÇÃO;SHEBA;Yasmin;Não;Sim;Sim;OK;4,33 ;18,90 ;16,89 ;164 ;351 ;2.776 ;1.520 ;5.928 ;1.520 ;3.191 ;1.218 ;20,55%;67,7%;290 ;1.255 ;3.616 ;0 ;121%;Meta acima 100%;Acima de 100%;0 ;0 ;0 ;619 ;2.681 ;10.462 ;0 ;0 ;0 ;187 ;0 ;3.153 ;268 ;197%;Acima de 100%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;530 ;2.294 ;8.952 ;530 ;146 ;0 ;2.294 ;8.952 ;0;0;0;197%;Meta Cumprida;Acima de 100%;619 ;2.681 ;10.462 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0;0;0;0;0;530;2.294;8.952;262;1.132;4.418;150;649;2.534;150 ;649 ;2.534 ;0 ;0 ;0 ;112 ;483 ;1.885 ;7;0;0;;;0;0;;;0 ;33111 - PETISCO SHEBA CREAMY ATUM E CAMARÃO 48G;                                                20,65 ;                                                           26 ;                                                           530 ;Sem Excesso;Meta acima 100%|Meta Cumprida;OK;OK;205 ;228 ;1;1;57,89%;                                               -   ;                            -   ;                                  134 ;2;                                 -   ;                                    -   ; Sim ;                                               0 ;                                               -   
1 ;1|30096;30096;AREIA HIGIÊNICA BIODEGRADÁVEL GREAT PETS GROSSA 3,8KG;ATIVO;HIGIENE E LIMPEZA;GREAT PETS;Yasmin;Não;Sim;Não;Vendas + Compras;29,88 ;64,99 ;49,90 ;68 ;3 ;3.393 ;90 ;150 ;90 ;19 ;41 ;27,24%;17,7%;120 ;3.586 ;5.988 ;117 ;3%;Meta 25%;0% a 10%;0 ;0 ;0 ;5 ;158 ;264 ;0 ;0 ;0 ;-65 ;-3.244 ;0 ;2 ;6626%;Acima de 100%;152 ;4.542 ;7.585 ;152 ;152 ;4.542 ;7.585 ;0 ;0 ;0 ;152 ;52 ;144 ;4.542 ;7.585 ;117;3.496;5.838;6626%;Estoque maior que 100%;Acima de 100%;5 ;158 ;264 ;0 ;0 ;0 ;0 ;0 ;0 ;293 ;0 ;293;171;122;3.637;6.073;152;4.542;7.585;35;1.046;1.747;0;0;0;0 ;0 ;0 ;0 ;0 ;0 ;35 ;1.046 ;1.747 ;13;0;0;;;0;0;;;0 ;30096 - AREIA HIGIÊNICA BIODEGRADÁVEL GREAT PETS GROSSA 3,8KG;                                                   0,18 ;                                                       861 ;                                                           152 ;Com excesso;Meta 25%|Estoque maior que 100%;Vendas + Compras;Vendas + Compras;150 ;443 ;2;1;30,00%;                                               -   ;                            -   ;                                         -   ;2;                              17 ;                                 35 ; Sim ;                                               4 ;                                               -   
1 ;1|13053;13053;SACHÊ OPTIMUM GATOS ADULTOS TRATO URINÁRIO FRANGO 85G;ATIVO;ALIMENTAÇÃO;OPTIMUM;Yasmin;Não;Sim;Não;Vendas;1,92 ;3,19 ;3,73 ;62 ;31 ;233 ;60 ;116 ;60 ;36 ;20 ;16,88%;38,0%;110 ;212 ;459 ;79 ;28%;Meta 50%;20% a 30%;0 ;0 ;0 ;55 ;105 ;204 ;0 ;0 ;0 ;-31 ;-117 ;0 ;24 ;342%;Acima de 100%;81 ;156 ;302 ;81 ;81 ;156 ;302 ;0 ;0 ;0 ;81 ;54 ;0 ;156 ;302 ;79;152;295;342%;Estoque maior que 100%;Acima de 100%;55 ;105 ;204 ;0 ;0 ;0 ;0 ;0 ;0 ;180 ;0 ;180;332;0;0;0;81;156;302;2;4;7;2;4;7;50 ;96 ;187 ;48 ;92 ;179 ;0 ;0 ;0 ;7;0;0;;;0;0;;;0 ;13053 - SACHÊ OPTIMUM GATOS ADULTOS TRATO URINÁRIO FRANGO 85G;                                                   1,82 ;                                                           44 ;                                                               81 ;Com excesso;Meta 50%|Estoque maior que 100%;Vendas;Vendas;57 ;79 ;2;1;76,82%;                                               -   ;                            -   ;                                         -   ;2;                              52 ;                                     2 ; Sim ;                                               0 ;                                               -   
